gene_symbol,gene_id_base,cohort,hpa_liver_ntpm,rna_liver_primary,hpa_log10,ag_log10
SEC22B,ENSG00000265808,,31.7,0.0747434304156403,1.5024271199844328,-1.125846315019699
FSBP,ENSG00000265817,,1.1,0.0325390894909774,0.0791812460476248,-1.4862619649475786
TXNIP,ENSG00000265972,,190.7,4.601046257164218,2.2805783703680764,0.6628660384527575
SRGAP2,ENSG00000266028,,7.3,0.0470757938509909,0.8692317197309761,-1.3262807830082028
BAHCC1,ENSG00000266074,,3.0,0.0040023820177571,0.4913616938342727,-2.3869639001648997
RASSF5,ENSG00000266094,,12.7,0.0563398989838162,1.1072099696478683,-1.2484137722176625
STRADA,ENSG00000266173,,22.7,0.1251457368176469,1.3579348470004535,-0.9022370479603712
PNLIPRP2,ENSG00000266200,,0.0,0.0004698843518704,-1.0,-3.244213267907094
ENSG00000266202,ENSG00000266202,,0.0,0.0126063543053966,-1.0,-1.895979038916283
KLF14,ENSG00000266265,,0.0,0.0009263278066858,-1.0,-2.9887139044319135
NBPF15,ENSG00000266338,,28.4,0.0128447021640378,1.4548448600085102,-1.8879079375043453
NCOA4,ENSG00000266412,,348.6,0.0759600054975162,2.542451947375977,-1.1188436475342067
MRPS21,ENSG00000266472,,60.9,0.2954131556040469,1.7853298350107671,-0.5294231805050014
GDF10,ENSG00000266524,,0.1,0.0083257887784507,-0.6989700043360187,-2.0743894321665772
MYO15B,ENSG00000266714,,31.2,0.0888949969227409,1.4955443375464486,-1.050634407623851
IGBP1C,ENSG00000266826,,0.0,0.0126581718086607,-1.0,-1.894211553694347
ENSG00000266953,ENSG00000266953,,0.0,1.7666500103947402,-1.0,0.2471751025419481
FXYD1,ENSG00000266964,top500,520.8,0.4163033307383261,2.716754357432697,-0.3804858053010537
AARSD1,ENSG00000266967,,22.8,0.0355565229535231,1.359835482339888,-1.4478610093301176
ENSG00000267001,ENSG00000267001,,2.9,0.0186033644591687,0.4771212547196624,-1.7280802632697805
ZNF850,ENSG00000267041,,0.9,0.0049462649326622,0.0,-2.297029952436582
PTGES3L,ENSG00000267060,,0.2,0.0135193003775598,-0.5228787452803375,-1.8658452015252336
ENSG00000267140,ENSG00000267140,,0.1,0.0566838026022855,-0.6989700043360187,-1.245775527733154
ENSG00000267157,ENSG00000267157,,0.4,0.1255018874167363,-0.3010299956639812,-0.90100383441638
ENSG00000267168,ENSG00000267168,,0.0,0.6715703664059979,-1.0,-0.1728438120262303
ENSG00000267173,ENSG00000267173,,0.0,0.000929239350794,-1.0,-2.987483617811485
ENSG00000267179,ENSG00000267179,,0.3,0.060573036475727,-0.3979400086720376,-1.2170042695746048
LCN6,ENSG00000267206,,0.3,0.0062151868822752,-0.3979400086720376,-2.1996137930516464
C17ORF113,ENSG00000267221,,0.5,0.0023525848563865,-0.2218487496163564,-2.6103759576389924
ENSG00000267261,ENSG00000267261,,0.0,0.0757045319136293,-1.0,-1.1203048296417286
